token,count,frequencyPer100Comment,frequencyPer100Token
trump,330,19.3095,1.1616
,202,11.8198,0.7110
tillerson,189,11.0591,0.6653
news,127,7.4312,0.4470
people,121,7.0802,0.4259
cnn,118,6.9046,0.4153
like,110,6.4365,0.3872
just,105,6.1439,0.3696
fake,93,5.4418,0.3273
moron,78,4.5641,0.2746
white,77,4.5056,0.2710
dont,65,3.8034,0.2288
president,62,3.6279,0.2182
said,61,3.5693,0.2147
rex,56,3.2768,0.1971
going,53,3.1012,0.1866
administration,53,3.1012,0.1866
know,51,2.9842,0.1795
hes,50,2.9257,0.1760
good,50,2.9257,0.1760
job,48,2.8087,0.1690
right,42,2.4576,0.1478
frustrated,42,2.4576,0.1478
house,42,2.4576,0.1478
america,41,2.3991,0.1443
racist,41,2.3991,0.1443
called,40,2.3406,0.1408
doing,39,2.2820,0.1373
trumps,38,2.2235,0.1338
does,38,2.2235,0.1338
shame,37,2.1650,0.1302
make,37,2.1650,0.1302
state,37,2.1650,0.1302
want,36,2.1065,0.1267
lol,36,2.1065,0.1267
source,36,2.1065,0.1267
country,34,1.9895,0.1197
time,34,1.9895,0.1197
men,32,1.8724,0.1126
way,32,1.8724,0.1126
think,32,1.8724,0.1126
say,31,1.8139,0.1091
black,30,1.7554,0.1056
idiot,30,1.7554,0.1056
tell,29,1.6969,0.1021
real,29,1.6969,0.1021
he’d,29,1.6969,0.1021
man,28,1.6384,0.0986
maybe,28,1.6384,0.0986
thats,28,1.6384,0.0986
women,28,1.6384,0.0986
things,27,1.5799,0.0950
fired,27,1.5799,0.0950
world,27,1.5799,0.0950
american,27,1.5799,0.0950
god,26,1.5214,0.0915
wants,26,1.5214,0.0915
look,26,1.5214,0.0915
wh,25,1.4628,0.0880
youre,25,1.4628,0.0880
isnt,25,1.4628,0.0880
liberal,24,1.4043,0.0845
guy,24,1.4043,0.0845
person,24,1.4043,0.0845
doesnt,24,1.4043,0.0845
work,23,1.3458,0.0810
daniel,23,1.3458,0.0810
actually,23,1.3458,0.0810
obama,23,1.3458,0.0810
he’s,23,1.3458,0.0810
45,23,1.3458,0.0810
office,22,1.2873,0.0774
donald,22,1.2873,0.0774
needs,22,1.2873,0.0774
don’t,21,1.2288,0.0739
war,21,1.2288,0.0739
says,21,1.2288,0.0739
russia,21,1.2288,0.0739
money,21,1.2288,0.0739
really,21,1.2288,0.0739
great,21,1.2288,0.0739
didnt,21,1.2288,0.0739
tax,21,1.2288,0.0739
truth,21,1.2288,0.0739
need,21,1.2288,0.0739
bought,21,1.2288,0.0739
sources,21,1.2288,0.0739
better,20,1.1703,0.0704
fox,20,1.1703,0.0704
true,20,1.1703,0.0704
jobs,20,1.1703,0.0704
liberals,20,1.1703,0.0704
report,19,1.1118,0.0669
im,19,1.1118,0.0669
left,19,1.1118,0.0669
year,19,1.1118,0.0669
replace,19,1.1118,0.0669
got,18,1.0532,0.0634
disgusting,18,1.0532,0.0634
love,18,1.0532,0.0634
years,18,1.0532,0.0634
knows,18,1.0532,0.0634
reason,18,1.0532,0.0634
believe,18,1.0532,0.0634
cut,18,1.0532,0.0634
let,18,1.0532,0.0634
sexual,18,1.0532,0.0634
thought,18,1.0532,0.0634
hate,17,0.9947,0.0598
thing,17,0.9947,0.0598
stop,17,0.9947,0.0598
secretary,17,0.9947,0.0598
facts,17,0.9947,0.0598
sure,17,0.9947,0.0598
russian,17,0.9947,0.0598
fact,17,0.9947,0.0598
probably,17,0.9947,0.0598
best,16,0.9362,0.0563
making,16,0.9362,0.0563
1,16,0.9362,0.0563
lets,16,0.9362,0.0563
oh,16,0.9362,0.0563
hope,16,0.9362,0.0563
new,15,0.8777,0.0528
told,15,0.8777,0.0528
swamp,15,0.8777,0.0528
yes,15,0.8777,0.0528
libya,15,0.8777,0.0528
public,15,0.8777,0.0528
korea,15,0.8777,0.0528
united,15,0.8777,0.0528
that’s,15,0.8777,0.0528
north,15,0.8777,0.0528
china,14,0.8192,0.0493
away,14,0.8192,0.0493
life,14,0.8192,0.0493
coming,14,0.8192,0.0493
long,14,0.8192,0.0493
oil,14,0.8192,0.0493
liar,14,0.8192,0.0493
states,14,0.8192,0.0493
hell,14,0.8192,0.0493
story,14,0.8192,0.0493
clinton,14,0.8192,0.0493
day,14,0.8192,0.0493
scumbag,14,0.8192,0.0493
getting,14,0.8192,0.0493
saying,13,0.7607,0.0458
bad,13,0.7607,0.0458
publicly,13,0.7607,0.0458
working,13,0.7607,0.0458
wont,13,0.7607,0.0458
place,13,0.7607,0.0458
americans,13,0.7607,0.0458
lmao,13,0.7607,0.0458
sad,13,0.7607,0.0458
come,13,0.7607,0.0458
pay,13,0.7607,0.0458
agree,13,0.7607,0.0458
deeply,13,0.7607,0.0458
matter,13,0.7607,0.0458
run,13,0.7607,0.0458
ago,13,0.7607,0.0458
griffith,13,0.7607,0.0458
problem,13,0.7607,0.0458
mueller,12,0.7022,0.0422
talking,12,0.7022,0.0422
dog,12,0.7022,0.0422
republicans,12,0.7022,0.0422
human,12,0.7022,0.0422
propaganda,12,0.7022,0.0422
face,12,0.7022,0.0422
rapist,12,0.7022,0.0422
shaming,12,0.7022,0.0422
remember,12,0.7022,0.0422
course,12,0.7022,0.0422
business,12,0.7022,0.0422
gone,12,0.7022,0.0422
pervert,12,0.7022,0.0422
democrats,12,0.7022,0.0422
kind,12,0.7022,0.0422
lying,12,0.7022,0.0422
rid,12,0.7022,0.0422
garbage,12,0.7022,0.0422
hey,12,0.7022,0.0422
wall,12,0.7022,0.0422
crap,11,0.6437,0.0387
mr,11,0.6437,0.0387
wrong,11,0.6437,0.0387
can’t,11,0.6437,0.0387
head,11,0.6437,0.0387
trash,11,0.6437,0.0387
poor,11,0.6437,0.0387
woman,11,0.6437,0.0387
far,11,0.6437,0.0387
media,11,0.6437,0.0387
big,11,0.6437,0.0387
department,11,0.6437,0.0387
resign,11,0.6437,0.0387
makes,11,0.6437,0.0387
chief,11,0.6437,0.0387
perverts,11,0.6437,0.0387
joke,11,0.6437,0.0387
dow,10,0.5851,0.0352
election,10,0.5851,0.0352
harassment,10,0.5851,0.0352
skin,10,0.5851,0.0352
muslim,10,0.5851,0.0352
boy,10,0.5851,0.0352
today,10,0.5851,0.0352
ignorant,10,0.5851,0.0352
believed,10,0.5851,0.0352
months,10,0.5851,0.0352
guys,10,0.5851,0.0352
turn,10,0.5851,0.0352
little,10,0.5851,0.0352
hillary,10,0.5851,0.0352
3,10,0.5851,0.0352
blame,10,0.5851,0.0352
different,10,0.5851,0.0352
ok,10,0.5851,0.0352
lot,10,0.5851,0.0352
cabinet,10,0.5851,0.0352
trying,10,0.5851,0.0352
history,10,0.5851,0.0352
gun,10,0.5851,0.0352
idiots,10,0.5851,0.0352
8,10,0.5851,0.0352
having,10,0.5851,0.0352
power,10,0.5851,0.0352
high,10,0.5851,0.0352
instead,10,0.5851,0.0352
orange,10,0.5851,0.0352
lie,10,0.5851,0.0352
staff,10,0.5851,0.0352
maga,10,0.5851,0.0352
stories,10,0.5851,0.0352
christ,9,0.5266,0.0317
reports,9,0.5266,0.0317
mean,9,0.5266,0.0317
network,9,0.5266,0.0317
free,9,0.5266,0.0317
took,9,0.5266,0.0317
earth,9,0.5266,0.0317
ham,9,0.5266,0.0317
exxon,9,0.5266,0.0317
theyre,9,0.5266,0.0317
whats,9,0.5266,0.0317
lies,9,0.5266,0.0317
democrat,9,0.5266,0.0317
thank,9,0.5266,0.0317
million,9,0.5266,0.0317
there’s,9,0.5266,0.0317
wonder,9,0.5266,0.0317
federal,9,0.5266,0.0317
scum,9,0.5266,0.0317
point,9,0.5266,0.0317
feel,9,0.5266,0.0317
guess,9,0.5266,0.0317
😂,9,0.5266,0.0317
plan,9,0.5266,0.0317
sending,9,0.5266,0.0317
replaced,9,0.5266,0.0317
impeach,9,0.5266,0.0317
use,9,0.5266,0.0317
rape,9,0.5266,0.0317
looks,9,0.5266,0.0317
half,9,0.5266,0.0317
words,9,0.5266,0.0317
calling,9,0.5266,0.0317
slave,9,0.5266,0.0317
government,9,0.5266,0.0317
pig,9,0.5266,0.0317
companies,8,0.4681,0.0282
street,8,0.4681,0.0282
order,8,0.4681,0.0282
aids,8,0.4681,0.0282
carry,8,0.4681,0.0282
john,8,0.4681,0.0282
coward,8,0.4681,0.0282
doesn’t,8,0.4681,0.0282
countries,8,0.4681,0.0282
thanks,8,0.4681,0.0282
deal,8,0.4681,0.0282
muslims,8,0.4681,0.0282
leave,8,0.4681,0.0282
curse,8,0.4681,0.0282
wait,8,0.4681,0.0282
talk,8,0.4681,0.0282
typical,8,0.4681,0.0282
smarter,8,0.4681,0.0282
yeah,8,0.4681,0.0282
vote,8,0.4681,0.0282
butt,8,0.4681,0.0282
laws,8,0.4681,0.0282
according,8,0.4681,0.0282
morons,8,0.4681,0.0282
rest,8,0.4681,0.0282
it’s,8,0.4681,0.0282
pos,8,0.4681,0.0282
thinks,8,0.4681,0.0282
low,8,0.4681,0.0282
ask,8,0.4681,0.0282
wanted,8,0.4681,0.0282
putin,8,0.4681,0.0282
help,8,0.4681,0.0282
bully,8,0.4681,0.0282
migrants,8,0.4681,0.0282
play,8,0.4681,0.0282
golf,8,0.4681,0.0282
stfu,8,0.4681,0.0282
dump,8,0.4681,0.0282
likes,8,0.4681,0.0282
gay,8,0.4681,0.0282
fun,8,0.4681,0.0282
i’m,8,0.4681,0.0282
bs,8,0.4681,0.0282
father,8,0.4681,0.0282
raped,8,0.4681,0.0282
send,8,0.4681,0.0282
proof,8,0.4681,0.0282
watch,8,0.4681,0.0282
kids,8,0.4681,0.0282
puppet,8,0.4681,0.0282
jesus,8,0.4681,0.0282
taxes,8,0.4681,0.0282
national,8,0.4681,0.0282
sold,8,0.4681,0.0282
gets,8,0.4681,0.0282
republican,8,0.4681,0.0282
e,8,0.4681,0.0282
gonna,8,0.4681,0.0282
stay,8,0.4681,0.0282
record,8,0.4681,0.0282
percent,8,0.4681,0.0282
u,8,0.4681,0.0282
child,7,0.4096,0.0246
voted,7,0.4096,0.0246
daughter,7,0.4096,0.0246
replacing,7,0.4096,0.0246
created,7,0.4096,0.0246
seen,7,0.4096,0.0246
reported,7,0.4096,0.0246
surprised,7,0.4096,0.0246
citizens,7,0.4096,0.0246
son,7,0.4096,0.0246
